"Reference","Value","Footprint","MPN","Manufacturer Part Number","Manufacturer_Part_Number","Part Number","PartNumber","P/N","PN","LCSC","JLCPCB","LCSC Part","LCSC#"
"C1","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","","","","","","",""
"C2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","","","","","","",""
"C3","1000µF","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","","","","","","","","","","",""
"F1","Fuse","halibs:Fuse-PTF75_Stelvio","","","","","","","","","","",""
"J1","Conn_01x04_Male","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal","","","","","","","","","","",""
"J2","Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","","","","","","","","","",""
"J3","Conn_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","","","","","","","","","","",""
"R1","10kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","","","","","","",""
"R2","10kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","","","","","","",""
"R3","10kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","","","","","","",""
"R4","10kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","","","","","","",""
"R5","10kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","","","","","","",""
"R6","330Ω","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","","","","","","","","","",""
"SW1","SW_Reset","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","","","","","","","","","","",""
"SW2","SW_GPIO0","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","","","","","","","","","","",""
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","","","","","","","","","",""
"U2","ESP-12F","RF_Module:ESP-12E","","","","","","","","","","",""
"U3","SN74AHCT125","haus-automatisierung:SN74AHCT125D","","","","","","","","","","",""
